id,title,abstract,year,field,author,inCitation,outCitation,journalName,journalVolume,journalPages
27bec69c2a7dfac123b797cf74ffd8416d77a183,The Influence of Weather on the Incidence of Primary Spontaneous Intracerebral Hemorrhage.,"BACKGROUND
Intracerebral hemorrhage has been associated with changes in various weather conditions. The primary aim of this study was to examine the collective influence of temperature, barometric pressure, and dew point temperature on the incidence of primary spontaneous intracerebral hemorrhage (sICH).


METHODS
Between January 2013 and December 2016, patients with sICH due to hypertension or amyloid angiopathy with a known time of onset were identified prospectively. Meteorological variables 6 hours prior to time of onset were obtained from the National Oceanic Atmospheric Administration via two weather stations. Using a Monte-Carlo simulation, random populations of meteorological conditions in a 6-hour time window during the same years were generated. The actual meteorological conditions 6-hours prior to sICH were compared to those from the randomly generated populations. The false discovery rate method was used to identify significant meteorological variables.


RESULTS
Time of onset was identified in 455 of 603 (75.5%) patients. Distribution curves for change in temperature, mean barometric pressure, and change in barometric pressure 6-hours prior to hemorrhage ictus were found to be significantly different from the random populations. (FDR approach P < .05). For a given change in temperature associated with intracerebral hemorrhage, mean barometric pressure was higher (1018 millibar (mb) versus 1016 mb, Pâ€¯=â€¯.03). Barometric pressure data was not influenced by variations in temperature.


CONCLUSIONS
We concluded that barometric pressure primarily influences the incidence of intracerebral hemorrhage. The association described in the literature between temperature and intracerebral hemorrhage is likely confounded by variations in barometric pressure.",2019,Medicine,"list(name = ""Rajeev K. Garg"", ids = ""47750883""); list(name = ""Bichun Ouyang"", ids = ""36352431""); list(name = ""Vishal A. Pandya"", ids = ""49655820""); list(name = ""Raquel Garcia-Cano"", ids = ""1435242336""); list(name = ""Ivan da Silva"", ids = ""7506445""); list(name = ""Deborah L. Hall"", ids = ""24222407""); list(name = ""Sayona John"", ids = ""4301134""); list(name = ""Thomas Pritchett Bleck"", ids = ""4520481""); list(name = ""Max B. Berkelhammer"", ids = ""3655196"")",a94a3836f5a88dd70e30b1f66e08f49011e7ae51; b3a0c1327585c03f8039674663da726fd801bf93,,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,28 2,"
          405-411
        "
65782651e5d8473cea13abcacbdaa3f20c6bc1f0,Concentration of the CDCP1 protein in human cord plasma may serve as a predictor of hematopoietic stem and progenitor cell content.,"Successful hematopoietic stem and progenitor cell (HSPC) transplantation rests upon reliable methods for their enumeration in sources such as cord blood (CB). Methods used today are costly, time consuming and exhaust the limited number of cells needed for transplantation. The aim of this study was to analyze if surplus plasma from CB contains biomarkers that can predict HSPC content in CB. Frozen, surplus plasma from 95 CB units was divided into two groups based on CD34+ cell concentration. Birth weight, gestation age, gender, mode of delivery, collection volume, nucleated cell count and colony forming unit assay results were available. Samples were analyzed with a proximity ligation assay covering 92 different proteins. Two-group t-test with p-values adjusted for false discovery rate (FDR) identified 5 proteins that significantly differed between the two groups. CDCP1 was the most significant (FDR adjusted p-value 0.006). Correlation with CDCP1 concentration was most significant for CD34+ concentration and nucleated cell count. Multivariate analysis showed that CD34 and gender seemed to influence the level of CDCP1. In conclusion, CDCP1 was identified as a potential biomarker of HSPC content in CB. The finding also warrants further investigation for a possible role of CDCP1 in regulating HSPC presence in CB.",2018,Biology; Medicine,"list(name = ""Sofia FrÃ¤ndberg"", ids = ""8298989""); list(name = ""Julia Asp"", ids = ""7140089""); list(name = ""Berit Waldner"", ids = ""39164097""); list(name = ""Jan Holgersson"", ids = ""4416831""); list(name = ""Lars Palmqvist"", ids = ""2242583"")",,62c9e579b2bfb623c3db5e75322a314bb4170262; cdd54bae85045346205b49d21bc1fe4c1ac4ff75; e358a53e30868b66f99c2a9b5201e93733239f09; 021f6ac1a4dbb4b3db47d4ca940067b813781edd; e3aa0b90e470a4373a1a6d52f7c95239ea352bc8; 3633529b2411aec315dbf1b704fe46f6c0bff20e; 5e26c8346e6b9a93c866d009fa94bf4133d9b50c; 61582ef6b802865d6fff0ce1da4b5705d46d9ab6; a430ffca29b2cbf96d281319ae2a6e32ab152b83; 2a345d0c4692ee2d5d02dfbb420f822fa9f04602; db044a4cfd707b0f5af959264de5fa9bf13a04d6; 5e414676539cf51d70184e766416390b6292d62f; 71c687687ab41c8b0acae9dec1457f497858e563; 0d2016f2f318e5dbe378555636fd14c8d39df66d; 86c14bbbd995c4dbc97dfe269f8e54b6a911c5b0; a74a713a32e1eb2ee534ec624ea96eb210064e17; d902e896019a96efc05ae57f2cce12aeb160559f; 1a5b3fe3d9755270776e512da513f93fe372710a; bba88ee7ee9766d0161f0d4c90956f063264416d; 28c256688ab0b7ffe69d71004dfb6313d807bb37; 1b64be259abd893cf694613edd298696b67734bd; 25e016da6f8bdbc9cd1b9f148737e33d39d1b0ec; 704f4e3455b6d2bdf9c0376786cbb149c2ee492b; 8f3511662d41f3bfee77115765dc0b0bc59ceace,Stem cell research,29,"
          24-27
        "
7bc6d1034148096965877fca816b04c457d18817,Continuous Inflation Analysis: A Threshold-Free Method to Estimate Genetic Overlap and Boost Power in Imaging Genetics,"Methods to quantify genetic overlap may elucidate relationships between disparate traits and provide Bayesian priors to guide the search for genetic influences on brain measures. Here we describe a threshold-free method called continuous inflation analysis, which we used to compare genome-wide association statistics (GWAS) for the volumes of eight brain regions, computed from brain magnetic resonance imaging. Our goal was to understand the extent of pleiotropy (overlap in genetic influences) and concordance for the volumes of brain regions with different biological functions. We found significant pleiotropy among seven of the subcortical brain volumes. We found positive concordance across the seven subcortical structures and negative concordance between genetic influences on each subcortical structure and intracranial volume. Using a conditional false discovery rate approach, we showed that a given brain volume GWAS could act as a Bayesian prior and improve the power to detect novel associations in a related brain volume. When conditioning the putamen volume GWAS on the caudate volume GWAS, we identified 17 novel loci associated with putamen volume.",2017,Economics; Biology,"list(name = ""Derrek Paul Hibar"", ids = ""143978242""); list(name = ""Neda Jahanshad"", ids = ""1721831""); list(name = ""Sarah E. Medland"", ids = ""145056501""); list(name = ""Paul M. Thompson"", ids = ""145363225"")",,76c5d085c4c4ed25eef261bb91eb8c4b66e7aba8; fcef2258a963f3d3984a486185ddc4349c43aa35; caa4149ca78b52c6d0121cbf39c968e1a5e9a403; 42f258938d0f6293ec0203edf050b7f5dde53f9e; dbc447956c16e27cfb030e40552359d3c79bc690; c3d3d496b7b016a761d323796c5fe22db7a7bbba; 88254d7bd6f6c55effdcb5f773570656070c59b2; a5cc17678897105098cc9519109755fe58ad8a39,,,147-162
399b716ee06dc8106c51e9fcac3ae5daa9f527d0,Expression-based Pathway Signature Analysis (EPSA): Mining publicly available microarray data for insight into human disease,"BackgroundPublicly available data repositories facilitate the sharing of an ever-increasing amount of microarray data. However, these datasets remain highly underutilized. Reutilizing the data could offer insights into questions and diseases entirely distinct from those considered in the original experimental design.MethodsWe first analyzed microarray datasets derived from known perturbations of specific pathways using the samr package in R to identify specific patterns of change in gene expression. We refer to these pattern of gene expression alteration as a ""pathway signatures."" We then used Spearman's rank correlation coefficient, a non-parametric measure of correlation, to determine similarities between pathway signatures and disease profiles, and permutation analysis to evaluate false discovery rate. This enabled detection of statistically significant similarity between these pathway signatures and corresponding changes observed in human disease. Finally, we evaluated pathway activation, as indicated by correlation with the pathway signature, as a risk factor for poor prognosis using multiple unrelated, publicly available datasets.ResultsWe have developed a novel method, Expression-based Pathway Signature Analysis (EPSA). We demonstrate that ESPA is a rigorous computational approach for statistically evaluating the degree of similarity between highly disparate sources of microarray expression data. We also show how EPSA can be used in a number of cases to stratify patients with differential disease prognosis. EPSA can be applied to many different types of datasets in spite of different platforms, different experimental designs, and different species. Applying this method can yield new insights into human disease progression.ConclusionEPSA enables the use of publicly available data for an entirely new, translational purpose to enable the identification of potential pathways of dysregulation in human disease, as well as potential leads for therapeutic molecular targets.",2008,Biology; Medicine,"list(name = ""Jessica D. Tenenbaum"", ids = ""2732613""); list(name = ""Michael G. Walker"", ids = ""32548727""); list(name = ""Paul J Utz"", ids = ""8220176""); list(name = ""Atul J Butte"", ids = ""50239137"")",4883a8c33779e4061d9715ee12175325b60f110a; 4490928080fd5bb07926fbe5aee56a8316e12ee8; 3af045503abf81705fc1833aadf5db93a9be854c; a49a70e4e8b4a2c5cfdd2f18ecc7077b9c3dee20; 91b31d17ce3a8e88f4fe8e1fb98df533c36341e0; 020abfab6bfff15d8660e887bd0f1eb9968e6898; f888f807794274d913f3f8e56f77bfa8b256bd6b; 62303ea9a8740f84e737d65a31c91562556a2929; 4809e5b6db6a0cd40640b14de35a331914d6d535; 995a735ad99d68c6d4124933140e79f4f172c02c; 395d384a32d77a512d7f448a1ae789630521f51a,a8244689434f4dcedb7709e4441f5f7433846ce8; aa3faf50b780766740f25f16eeb3f05c2598ed30; c3000bee290da7f6ad58dfb47446d244f81a61f6; b31bc8eb6ab324a8eac11d4282b09b0ad1f0b49d; de41d5e009cee62ce3ed88bcbd07017048531814; 709cb6b8776e53d8a78e7044c34cc9c47086dad4; 1864627f047dee73fdc348ee21327c831ec5f318; 373f58aa40b174e828d931395253905f724ce799; 42c76a47bf1a71d9c185d9257d7d15bb12776178; 4a8e34707ef6e0a05dca312a10bd83624d1d1ccf; a0f30970acb9bcd8d8596416a49bf781a0f64082; 09c6b9ff0f2e2d470b8ffe32e026904d6ec86d42; 82cb7fac9420f9221b7e9af15dcef564fe5e73f2; d334235531fd384370772702b79b9099d31861e9; 3f1fa5907f742825d029c0d76bcfa05756ebe269; 21c41fcec6ac8a7f55c539ac199247f200633753; d3d225e3628a53d3d2e57be49f9e0d3ec210313a; fa43fe8312d0076efe2f68140cdf3a28526ccaa1; a175453ceff401c67ce503750418e66936331b06; e96411e5d13e7a4e586ec8c87cfb1cccbcbb3bd4; 8407e02edbb92ade963e3150cb1886135c95966e; 20a84dcaf71b52ff751908d62db1ea9ce603be80; 2e39c86b27f849723e431a364c9ae27e89693d16; ee0faf93bffa58ff2072f3892f9c45e124791493; 1891544adfb6f876e79fc917b1a4e7aea5338b06; d5251a6a56190be7426b0d6a42808a9b7db4b80a; f6dddac967e3347d0cb1b48fec50b5999102fe44; 569cd7a400a2b438c86c288c2b31479dc62e563c,BMC Medical Genomics,1,51 - 51
b7ac1b9acc91da1ac515f57bed18da8ea68c0d26,SAW: A Method to Identify Splicing Events from RNA-Seq Data Based on Splicing Fingerprints,"Splicing event identification is one of the most important issues in the comprehensive analysis of transcription profile. Recent development of next-generation sequencing technology has generated an extensive profile of alternative splicing. However, while many of these splicing events are between exons that are relatively close on genome sequences, reads generated by RNA-Seq are not limited to alternative splicing between close exons but occur in virtually all splicing events. In this work, a novel method, SAW, was proposed for the identification of all splicing events based on short reads from RNA-Seq. It was observed that short reads not in known gene models are actually absent words from known gene sequences. An efficient method to filter and cluster these short reads by fingerprint fragments of splicing events without aligning short reads to genome sequences was developed. Additionally, the possible splicing sites were also determined without alignment against genome sequences. A consensus sequence was then generated for each short read cluster, which was then aligned to the genome sequences. Results demonstrated that this method could identify more than 90% of the known splicing events with a very low false discovery rate, as well as accurately identify, a number of novel splicing events between distant exons.",2010,Biology; Medicine,"list(name = ""Kang Ning"", ids = ""1798946""); list(name = ""Damian Fermin"", ids = ""1923241"")",d960ab65aaa7b7073d12b5b14dbf36fd10c8d5e5; a54714eed8a5f82e0d41a56d6cd591b4167cbb1c; d838512a1e3f260fd195548a42c0fb1d29d2dfb7; 0df436746d3641fcf8d6fb2f2a4113981cbb79b4; 574cbbfd3d5fe63d7e454e780dc20e9dbe9b42ea,6ffaf0b5df3978e2ce35b0e6f51c65bdf6b67e7f; 7581dd80f38a16cb8a2e2100ed9996ca1a84c1b4; 049724305ed60528958073d0c64d39977bb82c72; dbb4fde6cd061f7ebd32f73ef37d312be7f010e6; 28673ee289bb8573f2b9814a447e0c6ebca909cf; 6e487ab063fc9b945cd2f0c3dfff6655290e3145; 42f3486128a5e5be1db9a8fe9a124e43f602a5c8; b00113c902b54d7ab320b3cc3988423ed88457dc; 7de8b5ce383f19493ec3b1407115970229885b61; 0fcf18c66fcf2a09ee46bcec3d7bf265915ef8f5; af56e6d4901dcd0f589bf969e604663d40f1be5d; 2878976835c73ed0906e17a7336b9bf10d491a1a; ef117c95b92b68b751143155022a5c1a600afe5c; 2615097c06a257afc7b488147995feea06e242f3; 5498feb293c98371d47bea089938ba547983b79a; 02f56dca2decf3863dcead735f185e95a4bc6a84; b742e1b5f7b913512e8862cc79286203f6a9091f,PLoS ONE,5,
6eaa1da2a22556aa013de7b17c17f554da4f37c0,Regional homogeneity study of resting state functional magnetic resonance imaging of acupuncture at Zusanli(ST36) by using regional homogeneity,"Objective To explore the mechanism of acupuncture points for regional homogeneity(Reho) of resting state in brain function after acupuncture at Zusanli(ST36). Methods Ten healthy volunteers participated were enrolled, which included 4 males and 6 females; aged 20-34 years old with median age of 23. The GE Signa HDxt 3.0 T magnetic resonance imaging were performed before(control group) and after acupuncture at Zusanli(ST36), and differences of different brain Reho between 2 groups by statistical parametric mapping(SPM8) software and Reho data processing methods were analyzed. The statistically different brain regions were obtained by false discovery rate corrected(FDR-corrected). Results Compared with control group, the right anterior cingulated gyrus(8.17), left middle frontal gyrus(4.84) were enhanced Reho after acupuncture at Zusanli(ST36). The left cerebella hemisphere(-7.75), right posterior cingulated gyrus(-6.66), left putamen(-6.87), right insular cortex(-7.57), left side of corpus callosum(-5.71), left precuneus(-4.68), right medial frontal(-8.59) were decreased Reho after acupuncture at Zusanli(ST36). Conclusion It is demonstrated that the signal synchronization change the oxygen levels of regional brain tissue after acupuncture at Zusanli(ST36), suggesting that acupuncture Zusanli(ST36) activate specific areas of brain function and Reho differences existed by brain activity after acupuncture at Zusanli(ST36).",2014,Medicine,"list(name = ""Liu Lian-shen"", ids = ""1431576347"")",,,Biomedical Engineering and Clinical Medicine,,
526832cbb398f335f02371399cf027970512eca1,Weighted mining of massive collections of $p$-values by convex optimization,"Researchers in data-rich disciplines---think of computational genomics and observational cosmology---often wish to mine large bodies of $p$-values looking for significant effects, while controlling the false discovery rate or family-wise error rate. Increasingly, researchers also wish to prioritize certain hypotheses, for example those thought to have larger effect sizes, by upweighting, and to impose constraints on the underlying mining, such as monotonicity along a certain sequence. 
We introduce Princessp, a principled method for performing weighted multiple testing by constrained convex optimization. Our method elegantly allows one to prioritize certain hypotheses through upweighting and to discount others through downweighting, while constraining the underlying weights involved in the mining process. When the $p$-values derive from monotone likelihood ratio families like the Gaussian means model, the new method allows exact solution of an important optimal weighting problem previously thought to be nonconvex and computationally infeasible. Our method scales to massive dataset sizes. 
We illustrate the applications of Princessp on a series of standard genomics datasets and offer comparisons with several previous `standard' methods. Princessp offers both ease of operation and the ability to scale to extremely large problem sizes. The method is available as open-source software from this http URL .",2016,Mathematics,"list(name = ""Edgar Dobriban"", ids = ""2694895"")",be3681e06bb3b0635b9a3775935dd15c0151c823; d9fbc6a30f14f2e66426c00f1399e4ac6657c879,4225126bdc2a75577fa6f9ea67d0b4617773c44b; b6156bd783a121439b750e301f3cfa97d746e60c; bcd2a1e2a53751ab3f3d312f0ec6da41a0628451; 78d8650839f2b93076ce55c4692fff652b9c7034; 99674920dcfb9ef5ca3aebd1ecb8a7ffc481ab16; a4834d5d528c7aa9f85f3356395b5492231b9b72; ea001c2675d61ad96953a70149ac1caa2bf454f3; 0482ce9669a387899e80809d7cba83695f66c9b0; 95686586f26d5a1d152db72f6283c7a73335a513; 4f607f03272e4d62708f5b2441355f9e005cb452; 21c41fcec6ac8a7f55c539ac199247f200633753; 6f7c4b5dba6e92339fae4c92ceb81d93c191b4bc; 306cbd0013ce1658c7fae216e19a79a9afeb0bbd; ca1599213852dff7423d1016852addc036fd3ccb; b877cf63a1174fbafc1a91aa009f6e9b9c661849; ce2605f83e604a55beafdc4bc003c5979c8d794a; 473aed5ddabee5daec75829b8e0e430da4e53019; 721a5fd127edd33a83d06ffc9ed293f1486200ef; 2e518008e3f0ce35384cf2444dfd62f4f1026bfe; 840c0cdb1f428d300cd7986d170da5f807b3d20d; 3df591c002acc413e86387d71ad83fcf05f35d22; b0ebbcf713b3ddf3f94325bc58dc39ff76fdc412; 2a468cf042620cef8ca199c204abe6288056b0eb; 0bd2de0f430bee53bc18be84b2b5e0c47b149ba3; fcef2258a963f3d3984a486185ddc4349c43aa35; fb825a04d32511d4d26372dab63b458e65245010; 66244832e1d0ad30408f18edff5e9ab5bc86807d; 8e4a383769e35e3d2e118e6890a2c6be621c4974; b77a86b4786666510a1372fecc0d1cc3c824f843; 5800894aa631837c684614c2e108da79f73af2a2; bf86896c23300a46b7fc76298e365984c0b05105; 98fe66ff53d2aa52d12404c8522dec14ef3a217c; e043d8b0d15ed08c705c20b4a5da98f3bcfd5b17; 6fa36154f11da0aa1b5aaa4158389278d7dafbab; 973501e1fc13985b6f5628b3949f210616e15042; 6d3fb1482ea20a3d75d39c0147977e775c1af173; f0eee3d725c2aa81f0387b7527136d8b67f165fb; 44d86f3ba9167f4931dae729d814c13fbc7a0efb; 8c1eed72bb4c630e18c051b062dfab77e12eddb6; c58e7c86a854efd8f1527621ab844f7673072261; fa9b1dea9b0e78b0ef618ab87c592079fbd4d4ca; 8d3835063996e768c34ed5136811229c9153ac38; 3fa0bda2a487ef0e8c7187cf6f88ed7c0170f6c6; d2fd8c1cbd1b23dbd21a9e66e261ab5eb2d3f15d; 6984b7e591e64325c9b6b74ce8e0fb7c5bb2746d; 1db5c1d04f85e6886e51b6dde9bb047e2ace3334; 2158eaf6bf6293d5d14dd096f1f1363c5a0388fe,arXiv: Methodology,,
c12cd2ea2fb81f5a22d685fb87b6fe73dc6e8db4,A whole genome scan for differences in recombination rates among three Bos taurus breeds,"Abstract. Twenty paternal half-sib families of a granddaughter design were genotyped for 265 genetic markers, most of them microsatellites. These were 16 Holstein families, 3 Simmental families, and 1 Brown Swiss family. The number of sires per breed was 872, 170, and 32, respectively. Two-point recombination rates were estimated both jointly for all breeds and each single breed separately. Of 1168 marker intervals, 865 provided estimates for at least two breeds. Differences between breeds were tested by likelihood ratio tests. Four marker intervals, representing three genomic regions on BTA19, BTA24, and BTA27, show a significant impact of the breed at a false discovery rate of 0.23 and indicate a genetic component of observed heterogeneity of recombination. The variability of recombination rates between cattle breeds might not be a common feature of the whole genome, but rather might be restricted to certain chromosomal segments. Thus, attention should be paid to heterogeneities when pooling data of such regions from different breeds.",2001,Medicine; Biology,"list(name = ""Hauke Thomsen"", ids = ""48494766""); list(name = ""Norbert Reinsch"", ids = ""2139427""); list(name = ""Ningying Xu"", ids = ""49183599""); list(name = ""JÃ¶rn Bennewitz"", ids = ""40393182""); list(name = ""Christian Looft"", ids = ""6764376""); list(name = ""Sven Grupe"", ids = ""47744291""); list(name = ""Christa KÃ¼hn"", ids = ""152209474""); list(name = ""Gudrun A. Brockmann"", ids = ""32599951""); list(name = ""Manfred Schwerin"", ids = ""1766248""); list(name = ""B. Leyhe-Horn"", ids = ""1404112821""); list(name = ""Stefan Hiendleder"", ids = ""4143698""); list(name = ""Georg Erhardt"", ids = ""32916132""); list(name = ""Ivica Medjugorac"", ids = ""7884231""); list(name = ""I. Russ"", ids = ""46402845""); list(name = ""Martin Foerster"", ids = ""153116745""); list(name = ""Bertram Brenig"", ids = ""47245253""); list(name = ""Fritz Reinhardt"", ids = ""49708498""); list(name = ""Reinhard Reents"", ids = ""4495626""); list(name = ""JÃ¼rgen BlÃ¼mel"", ids = ""118361220""); list(name = ""Gottfried Averdunk"", ids = ""49311999""); list(name = ""Ernst Kalm"", ids = ""5975327"")",b8dbddc364c216ead23d077820bc1e9c3deca003; df29cabc6ac39479d68161baf34985e407827641; 86e14b157e75301a40663c146ebfc7145d34422b; 3193daca3e03a1f4887b62411837b614932f90d1; e49ef4b3b1f89eec67941630ee3b545f0edaa4ca; 60fa7e51a77ddc653ac839f93ec2053d50f0fe15; 48a42ffa4983a0c93b84a7840d0b7f27edbc5ece; acf754aa94c55ce9029d0bc60809e4600154ee51,88c59504a34743954db27c64e9c7fc1f03f5faf9; 1d1c587bda91fa8616a096e2b6c3a08bd490c3d7; 666e51d57807d33ce6877aedd4cc71e63a08459a; e87bb241c8e1ca65d66b51551d319afdb20a2b04; 000ff41892fe61aa4ed3d51a2b9ae26e06072c3c; e60a8858a71297313deb968a18dc606fb7afa21c; afcf62c053553ae1a5c8f57b52894d5e7c197c74; a3e059b35bc8345628732270b9037810cad81ef5; fe76387d9e956df77e089b38a1d9b5a07374760e; 60cabe0dbccf451dab02407f29463cbb2e29b453; 90acaa6e926105403fe6321ec244fa17ee0710f0; 3815f261d6cb80984f91e8b8abc4b9231e3bb6d1; 63f779fba2df2faced9e670566be0bd18e4f67b8; 0ed73bd7dc3222bd8e2c13716d181aa0d04e389b; df3f1ff6d963ffc08c0dad6820d2823bd81476e5; 1e7c107fa7340089af0360ce5995f87f37d27071; b4eb960774d68cf126bdadea4f6b19a645b5230f; 4f864b41a4dc0d9d0ac6ac9579f995d884e98515; fcef2258a963f3d3984a486185ddc4349c43aa35; a3fe58445c45cb49f037726f3bf895ebdfc8520f; a0426febc659f9744eca37ada264ef5660b6ac6c; 6da44a11983f5a8c6113125ecefde55d4be46a0e; fd98f9bb2d1a328e13885e777ddd7ed34d776fd9; 544fac67c639431d45adb97c3dcaa99b7ae292be; 5e1f69ff552fdc4ccc249fb8962dd4ab023df39b; 68959822515f902b05bf319ef580c61ef7aad36a; 51383d727ef69f7c3c7e2b78c249670fc238a9cc; 441800ed2cbbe9c7d86c44421e2ec749813132a6; 9c80bbeed2de24c5e8d08fdf01b4518b3b3d3f62; 0229938efccdde6ee68a75a2330b3b894367576d; aff1b1c7fe7e6ba2f039742e642529780eefee03; 4f3d6ea25f65aef7f8353a0bd484a60a5dc760c6; adaa716f6bb23f3e50bf068798dc08a306cafd86; eb89530a7fdbc15e532f93dbfc736f69e6274925; ffc64335d3573d185b8557bc567cbcf608f76b9e,Mammalian Genome,12,724-728
6455775ecdbd5fd886f77ebc646d5f3d53496360,Model selection in a global analysis of a microarray experiment.,"Analysis of data from complementary DNA microarray experiments is an area of intense research. Options include models at the gene level or at the global level, the latter combining information from all of the profiled genes. In general, a joint analysis is expected to be more powerful than gene-specific analyses. Global analysis of microarray data requires fitting a model that jointly performs data normalization and analyses. The objective of this study was to assess the optimality of alternative models for data normalization and analysis in an experiment to identify differentially expressed genes between 2 muscles in AvileÃ±a Negra IbÃ©rica calves. Three major groups of models were explored according to several aspects including spatial arrangement of spots, other technical sources of variation such as dye effects, assumptions related to effects included in the model, and gene-specific effects. In addition, 3 sources of heterogeneity of residual variance were investigated. All models were compared by Bayes factors and cross-validation predictive densities. The model that included array-block, dye, muscle, and array-dye as systematic effects and all gene-related components as random effects was the best model for normalization and analysis of these data under heterogeneity of residual variances. Furthermore, level of intensity seemed to be the major source of heteroscedasticity for all models investigated. Such models rendered the best goodness of fit without compromising the predictive ability. The best model also provided the best performance to detect genes differentially expressed with the lowest false discovery rate. The large differences found for the model comparison criteria across models indicate the importance of defining the factors that more accurately account for experiment-wide variability to ensure correct inference on differential expression of genes. Our results also illustrate the importance of the experimental setup to account for possible sources of bias in the detection of differentially expressed genes.",2009,Medicine; Biology,"list(name = ""Clara DÃ­az"", ids = ""77890204""); list(name = ""Natalia Moreno-SÃ¡nchez"", ids = ""1403128397""); list(name = ""JesÃºs Rueda"", ids = ""143695918""); list(name = ""Antonio Reverter"", ids = ""1884674""); list(name = ""Yonghong Wang"", ids = ""49416234""); list(name = ""MarÃ­a JesÃºs CarabaÃ±o"", ids = ""4763464"")",a4deb6cbecd20880d20c7dcb641b56049112d905; 117c143efc52ec47d838b6dd046a00fe308722de; 4900b01ec513b6927454314b3a0dd583edb1bfb5,1c89a34897bbd30b4fbb6ce201b87e9f7bc54f38,Journal of animal science,87 1,"
          88-98
        "
e4ace4ab02eb59bc0360cdbb10333cc9f20cb80d,Association of genetic variation in apolipoprotein E and low density lipoprotein receptor with ischemic stroke in Northern Han Chinese,"BACKGROUND
Ischemic stroke is the end phenotype of a complex interaction between various genetic and environmental factors.


OBJECTIVE
We aimed to explore association of two lipid-relevant genetic variants and conventional risk factors with risk of having ischemic stroke in Northern Han Chinese.


METHODS
Genotyping was performed in 396 ischemic stroke patients and 396 controls that were all recruited from the four hospitals of Qiqihar city. Data were analyzed using chi(2) test, logistic regression and haplotype analyses.


RESULTS
Significant differences were observed for genotype and allele distributions of APOE epsilon2/epsilon3/epsilon4 polymorphism (P<0.001) with epsilon4 allele conferring a 2.19-fold risky effect (P<0.001), while no statistical differences were found for LDLR C1773T distributions. Haplotype analysis indicated the remarkable differences for haplotypes harboring APOE ""epsilon2"" or ""epsilon4"" alleles between cases and controls after the stringent Bonferroni correction. Moreover, all multiple-testing associations remained significant using false discovery rate (FDR) method. Further our multiple logistic regression analysis showed significant associations of hypertension status (OR=5.37, P<0.001) and APOE epsilon2 (OR=0.45, P<0.001) and epsilon4 (OR=1.50, P=0.003) alleles with ischemic stroke after controlling confounders, and their correlations with plasma lipid profiles were strengthened by stratification of alleles and hypertension status combined.


CONCLUSIONS
Our results not only demonstrated potential interactions of APOE epsilon2/epsilon3/epsilon4 and LDLR C1773T polymorphisms with risk of having ischemic stroke, but also added the evidence of independent role of hypertension and APOE epsilon2/epsilon3/epsilon4 polymorphism in the development of this disorder in Northern Han Chinese.",2009,Medicine,"list(name = ""Bin Wang"", ids = ""47780694""); list(name = ""Hongye Zhao"", ids = ""4054284""); list(name = ""Li Zhou"", ids = ""2489944""); list(name = ""X Dai"", ids = ""143997119""); list(name = ""Wenquan Niu"", ids = ""144494405"")",612acabbed8498c1aed3060cf1d954d686399f3d; 30e9d604ca07c61043be7cd2c6825f5d0a82b3b3; 04115581c261ee27db23ad323c7bf0f851f77bca; d77896555dfec4cc1b7ebd9639a8d9ef639a930e; 7e86a919c2872e4e6135aa439bb6c9a0fdc08334; 363bf554f0342c7f9269eb70a10764b42639f4a5; dd7e4707e6fd4ffccb6d53152973fa46eb33ea1b; 8bec1ea5b6d5d04abde5c49bbff887fa07e73815; 57174351bf480c42ffc04fc5c0d505e65b1f8c5e; b1560dfa093d171b9e91dc02f79a9ac9330ef8bb; 3d59f8a60dfaa24ef33bed64b4037e00788cdee9; cb1fe2495eb42f8df45265f3c07363d2bba7c2e6; 28db1309d2865086e1d9400321ea0716739c3b4f; 3529a5b6ccda13678e2d429e68dad28990e09873; e798e90864fe05ec4043e91614a9e228b1ce5693; beedfb9e3cbf542eeaed594cc0a1e9511da091eb; f32566624be18df015b0f14407955ebb8b3848a4; 347322204bead82859effbef9cceedeccd793eee; aecb5d166aa7585a47a95d01d463764d4a4d914e; 5470873b39964205c0170aa5fd6ae7e64c604449; c2eec07c014f63a7444af24c6a2fca7a6db4afb4; fefadff4203c41a242394a53f0716d6579b8269b,,Journal of the Neurological Sciences,276,118-122
